ShortCode	Type	Title	Author	Journal	Organization	Publisher	Address	Year	Volume	Number	URL	Date Accessed													
startup	online	StartUp Season 1	Alex Blumberg		Gimlet Media			7 July 1905																	
diehnden	article	"The Wolf Den #89: Erik Diehn, Midroll Media VP of Business Development"	Adam Sachs	Earwolf				1 October 2015			https://soundcloud.com/the-wolf-den/89-erik-diehn-midroll-media-vp-of-business-development	11 October 2015													
heart	letter	E-mail message to author	Mitra Kaboli 					3 October 2015																	
israel	letter	E-mail message to author	Benny Becker 					3 October 2015																	
christa	letter	E-mail message to author	Christa Scharfenberg 					6 October 2015																	
matt	letter	E-mail message to author	Matt Lieber					9 October 2015																	
wb	letter	"Interview with Jenna Weiss-Berman, Buzzfeed"			Tow Center for Digital Journalism			7 August 2015																	
mosel	letter	"Interview with Sarah van Mosel, New York Public Radio"			Tow Center for Digital Journalism			7 September 2015																	
thompson	letter	"Interview with Caitlin Thompson, Acast"			Tow Center for Digital Journalism			17 August 2015																	
lieber	letter	"Interview with Matt Leiber, Gimlet Media"			Tow Center for Digital Journalism			28 July 2015																	
chang	letter	"Interview with Clea Conner Chang, Intelligence Squared"			Tow Center for Digital Journalism			30 July 2015																	
quah	letter	"Interview with Nicholas Quah, Panoply"			Tow Center for Digital Journalism			24 August 2015																	
colgan	letter	"Conversation with Jim Colgan, Audible"			Tow Center for Digital Journalism			31 August 2015																	
Walch	letter	"Interview with Rob Walch, Libsyn"			Tow Center for Digital Journalism			13 August 2015																	
Stengel	letter	"Interview with Angela Stengel, ABC"			Tow Center for Digital Journalism			3 August 2015																	
mailchimp	letter	"Interview with Mark DiCristina, Mailchimp"			Tow Center for Digital Journalism			3 September 2015																	
lind	letter	"Interview with Seth Lind, This American Life"			Tow Center for Digital Journalism			21 August 2015																	
shanok	letter	"Interview with Noah Shanok, Stitcher"			Tow Center for Digital Journalism			17 September 2015																	
bowers	letter	"Interview with Andy Bowers, Panoply"			Tow Center for Digital Journalism			2 October 2015																	
parvizi	letter	"Interview with Parviz Parvizi, Clammr"			Tow Center for Digital Journalism			25 July 2015																	
shapiro	letter	"Interview with Jake Shapiro, PRX"			Tow Center for Digital Journalism			31 July 2015																	
lore	letter	"Interview with Aaron Mahnke, Lore"			Tow Center for Digital Journalism			5 October 2015																	
reveal	letter	"Interview with Christa Scharfenberg, Reveal"			Tow Center for Digital Journalism			13 August 2015																	
monaghan	letter	Interview with Brendan Monaghan			Tow Center for Digital Journalism			26 August 2015																	
hirway	letter	"Interview with Hrishikesh Hirway, Song Exploder"			Tow Center for Digital Journalism			4 August 2015																	
hoffman	letter	"Interview with Kerri Hoffman, PRX"			Tow Center for Digital Journalism			6 August 2015																	
EdPCconsumer	online	The Podcast Consumer 2015			Edison Research			25 June 2015			http://www.edisonresearch.com/the-podcast-consumer-2015/	10 October 2015													
statistaradio	online	Statistics and Facts on the U.S. Radio Industry			Statista						http://www.statista.com/topics/1330/radio/	10 October 2015													
nielsenradio	online	State of the Media: Audio Today---How America Listens			Nielsen			5 March 2015			http://www.nielsen.com/us/en/insights/reports/2015/state-of-the-media-audio-today-how-america-listens.html	10 October 2015													
midrollpaper	online	Podcasts by the Numbers			Midroll Media						http://awesome.midroll.com	10 October 2015													
clammrfuture	online	Clammr Future of Podcasting 2015			Clammr			16 July 2014			http://www.slideshare.net/clammrapp/20150617-future-of-podcasting-2015-clammr-v-f	10 October 2015													
petre	online	"The Traffic Factories: Metrics at Chartbeat, Gawker Media, and The New York Times"	Caitlin Petre		Tow Center for Digital Journalism			7 May 2015			http://towcenter.org/research/traffic-factories/	10 October 2015													
RSSWiki	online	RSS			Wikipedia						https://en.wikipedia.org/wiki/RSS	10 October 2015													
WhatisRSS	online	What Is RSS?	Darren Rowse		problogger.net						http://www.problogger.net/what-is-rss/	10 October 2015													
PCHistoryWiki	online	History of Podcasting			Wikipedia						https://en.wikipedia.org/wiki/History_of_podcasting	10 October 2015													
panoplypartners	online	Eleven Shows From Sports Illustrated Join Panoply Podcasting Network			Panoply Media Tumblr			17 August 2015			http://panoplymedia.tumblr.com/post/126958922613/eleven-shows-from-sports-illustrated-join-panoply	10 October 2015													
hotpodhackathon	online	"This American Life's Audio Hackathon, the End of an Indie Podcast, and Audible's New Hire"	Nicholas Quah		Hot Pod/Nieman Journalism Lab			22 September 2015			http://www.niemanlab.org/2015/09/hot-pod-this-american-lifes-audio-hackathon-the-end-of-an-indy-podcast-and-audibles-new-hire/	10 October 2015													
ambulante	online		Radio Ambulante		Kickstarter			25 January 2012			https://www.kickstarter.com/projects/1255653356/radio-ambulante/description	10 October 2015													
panoplyaudiometric	online	Panoply Acquires Next Generation Ad Management and CMS Technology for Podcasters and Podcast Networks			Panoply Media			11 August 2015			http://panoplymedia.tumblr.com/post/126434082888/panoply-acquires-next-generation-ad-management-and	10 October 2015													
